tp,config,group,kind,b,tokens,kv,probe_med_ms,n_reps,spread,reference_ms,delta
8,prefill,A,prefill,1,512,2048,23.945998400449753,2,0.011073039559237736,24.123147130012512,-0.007343516524108996
8,prefill,A,prefill,1,1024,0,31.50914516299963,2,0.01788394755639716,30.799221247434616,0.023050060579831905
8,prefill,A,prefill,1,1312,128,35.96048895269632,2,0.0027072733672481044,35.851918160915375,0.0030283119383918786
8,prefill,A,prefill,1,2048,0,46.031554229557514,2,0.009379394511047372,45.68723030388355,0.007536546281832564
8,prefill,B,prefill,1,2048,384,46.8444861471653,2,0.0073855316551357285,46.63171957847678,0.004562700466802412
8,prefill,B,prefill,1,2048,6144,52.542987279593945,2,0.008740215354416953,52.32851308323929,0.004098610560813997
8,prefill,B,prefill,1,2048,98304,140.97101613879204,2,0.0029747934410522974,143.9978700255525,-0.021020129577078692
8,prefill,A,prefill,1,2049,0,103.6478579044342,2,0.03240893426820344,100.083839148283,0.03561033216232635
8,prefill,B,prefill,1,2304,0,99.9716641381383,2,0.0773612758867756,99.6224500200678,0.0035053757260551893
8,prefill,B,prefill,1,2816,0,96.63050901144743,2,0.014383773949974026,98.69605302537687,-0.020928334524161207
8,prefill,B,prefill,1,3328,0,98.61444402486086,2,0.048716694665369514,97.76965603068595,0.008640594929675963
8,prefill,B,prefill,1,3840,0,97.31902927160263,2,0.00967387001271404,96.84325903599502,0.004912786293476312
8,prefill,A,prefill,1,4096,0,99.11843109875917,2,0.04380493200048991,96.38006053864956,0.02841221041785397
8,prefill,B,prefill,1,4096,384,102.14247461408377,2,0.10108015209750344,96.69165628642864,0.05637320258025396
8,prefill,B,prefill,1,4096,6144,100.40466766804457,2,0.06690434632955519,100.43950338544064,-0.0003468328319226585
8,prefill,B,prefill,1,4096,98304,252.48613581061363,2,0.009367738374239194,263.0773431496832,-0.04025891098133634
8,prefill,B,prefill,1,4352,0,96.36810515075922,2,0.004556273859449286,99.73686328157783,-0.03377645957551225
8,prefill,B,prefill,1,4864,0,95.50264291465282,2,0.01102815342411699,106.45046876743436,-0.10284431792122578
8,prefill,B,prefill,1,5376,0,102.1772837266326,2,0.0007616485205090057,113.16407425329089,-0.09708726554036025
8,prefill,B,prefill,1,5888,0,112.331029959023,2,0.0010534883754672168,119.87767973914742,-0.06295291831261547
8,prefill,B,prefill,1,6400,0,120.32054550945759,2,0.0008157085540770172,126.59128522500396,-0.04953531915250506
8,prefill,B,prefill,1,6912,0,129.5424895361066,2,0.004523218987825668,133.3048907108605,-0.028224029551283204
8,prefill,B,prefill,1,7424,0,138.00110295414925,2,0.000823741484844034,140.01849619671702,-0.014408048203384996
8,prefill,B,prefill,1,7936,0,145.35068441182375,2,0.0009734789989734612,146.73210168257356,-0.009414553835930433
8,prefill,A,prefill,1,8192,0,149.66311864554882,2,0.006564971712739706,150.08890442550182,-0.0028368904522475618
8,prefill,B,prefill,2,3328,0,96.21411468833685,2,0.025316390511470725,99.57483763072656,-0.033750724805125566
8,prefill,B,prefill,3,1920,0,44.13891490548849,2,0.010975317678162918,43.2382967789645,0.020829176762627404
8,prefill,B,prefill,3,5376,0,100.36504454910755,2,0.0028714026759386942,111.58730056446346,-0.10056929380483459
8,prefill,B,prefill,4,2816,0,95.31618002802134,2,0.0008754118631859667,101.86334591382558,-0.06427401168760963
8,prefill,B,prefill,4,6400,0,116.22525937855244,2,0.002820861406032162,122.20681249164045,-0.04894615112800835
